rank,name,date,pace,heart_rate,time,gender
122,Brent Weigner,30-Jan-21,11:12/mi,-,4:53:00,male
123,McCray Foster,3-Feb-18,11:20/mi,-,4:56:33,male
124,Parker Tenney,29-Jan-22,11:22/mi,167bpm,4:57:12,male
125,Spencer Olsen,15-Feb-20,11:46/mi,148bpm,5:08:03,male
126,Scott C,29-Jan-22,11:51/mi,-,5:09:48,male
127,Dave Paystrup,29-Jan-22,12:01/mi,134bpm,5:14:25,male
128,Randy Ostler,30-Jan-21,12:46/mi,132bpm,5:34:13,male
129,Dj Huber,15-Feb-20,13:05/mi,145bpm,5:42:05,male
130,Joe Larsen,15-Feb-20,13:36/mi,145bpm,5:55:39,male
131,James Bond,29-Jan-22,14:17/mi,139bpm,6:13:50,male
132,Timothee Petrossi,2-Feb-19,14:20/mi,-,6:14:50,male
133,Trenten Hixon,29-Jan-22,16:37/mi,-,7:14:31,male
